"Credit Card Number","Credit Card Number"
"Identification","Identificação"
"%1 Splitted in %2 time","%1 Parcelado em %2 vez"""
"%1 Splitted in %2 times","%1 Parcelado em %2 vezes"""
"Debit Card Number","Número do Cartão de Débito"
"Name on Card","Nome no Cartão"
"Continue To Braspag","Continuar para a Braspag"
"Print Boleto","Imprimir Boleto"
"Installments","Número de Parcelas"
"Card Verification Number","CVV"
"Expiration Date","Data de Validade"
"Credit Card Number","Número do Cartão de Crédito"
"with interest","com juros"
"with interest*","com juros*"
"without interest","sem juros"
"Select below the payment method of your preference","Selecione abaixo a forma de pagamento de sua preferência"
"Number of installments","Número de Parcelas"
"The delivery time is counted from the confirmation of the payment","O prazo de entrega é contado a partir da confirmação do pagamento."
"The total purchase amount must be available at the limit of your card.","O valor total da compra deve estar disponível no limite do seu cartão."
"Minimum amount of plot: U$ 20,00","Valor mínimo de parcela: R$20,00"
"Permitted purchases up to 3x (respecting minimum parcel value).","Permitido compras em até 3x (respeitando valor da parcela mínima)."
"This is a required field.","Campo obrigatório."
"Please enter a valid number in this field.","Campo obrigatório."
"The '%1' field can not be empty.", "O campo '%1' não pode estar vazio."
"The length of the '%1' field is longer than allowed. The limit is '%2' characters.", "O tamanho do campo '%1' é maior do que o permitido. O limite é de '%2' caracteres."
"'CorporateName' can not be empty", "O campo 'Razão social' não pode ser vazio"
"'FancyName' can not be empty", "O campo 'Nome fantasia' não pode ser vazio"
